0.0555556 547.459 583.276 584.101 212.894 238.561 201.515 181.012 282.849 190.528 
0 537.420 581.195 576.539 223.111 249.007 205.032 179.717 279.149 187.734 
0 537.420 581.195 576.539 223.111 249.007 205.032 179.717 279.149 187.734 
0.0555556 547.459 583.276 584.101 212.894 238.561 201.515 181.012 282.849 190.528 
0.125 560.660 585.785 593.291 200.897 228.663 193.441 185.416 285.345 192.950 
0.125 560.660 585.785 593.291 200.897 228.663 193.441 185.416 285.345 192.950 
0.25 571.431 610.478 604.574 187.806 215.879 170.471 183.783 286.921 194.899 
0.25 571.431 610.478 604.574 187.806 215.879 170.471 183.783 286.921 194.899 
0.375 539.865 600.936 592.543 173.192 192.627 161.927 178.659 286.877 187.964 
0.375 539.865 600.936 592.543 173.192 192.627 161.927 178.659 286.877 187.964 
0.5 473.980 535.774 531.190 168.628 178.400 163.127 160.525 257.126 163.857 
0.5 473.980 535.774 531.190 168.628 178.400 163.127 160.525 257.126 163.857 
0.75 486.946 501.211 520.844 166.332 195.878 159.242 156.011 253.475 153.299 
0.75 486.946 501.211 520.844 166.332 195.878 159.242 156.011 253.475 153.299 
1 495.847 488.976 531.589 164.591 196.256 144.652 148.359 270.008 148.297 
1 495.847 488.976 531.589 164.591 196.256 144.652 148.359 270.008 148.297 
